iter	Logloss
0	0.6827176743
1	0.672493148
2	0.6628388174
3	0.6546957855
4	0.6453732015
5	0.6366843646
6	0.6288645732
7	0.6210170775
8	0.6138553685
9	0.6066229683
10	0.5991587035
11	0.5924378751
12	0.5860879546
13	0.5807245376
14	0.5738795673
15	0.5683156974
16	0.5633597914
17	0.5587217519
18	0.5539358906
19	0.5491188458
20	0.5445194316
21	0.5402329019
22	0.5359746419
23	0.531818558
24	0.5278412706
25	0.5244956628
26	0.5204579301
27	0.5170321688
28	0.5134928567
29	0.5100961575
30	0.5073931774
31	0.5040132909
32	0.5011948479
33	0.4984101844
34	0.4958952181
35	0.4934189221
36	0.491025285
37	0.4886505186
38	0.4867729339
39	0.4846789852
40	0.482414264
41	0.4805311973
42	0.4784722033
43	0.4766466228
44	0.4744878304
45	0.4728630774
46	0.4711363491
47	0.4694142748
48	0.4678179373
49	0.4664943389
50	0.4650423175
51	0.4633296792
52	0.46188529
53	0.4606927841
54	0.459407292
55	0.4583724444
56	0.457057217
57	0.4560424697
58	0.4548895817
59	0.4536455744
60	0.4526273486
61	0.4512595359
62	0.4499323695
63	0.4491763458
64	0.4480968005
65	0.4471675181
66	0.4461727994
67	0.4452814496
68	0.4443619307
69	0.4435162091
70	0.4427785013
71	0.4418379266
72	0.4411595355
73	0.4404072836
74	0.4397223263
75	0.4389963585
76	0.4384549248
77	0.4376981378
78	0.4372486616
79	0.4366807348
80	0.4359357332
81	0.435370047
82	0.4348262733
83	0.434301097
84	0.4337567042
85	0.4332418922
86	0.4327722531
87	0.4321678793
88	0.4316074124
89	0.4311820718
90	0.4307033074
91	0.430289661
92	0.4297419356
93	0.4293902287
94	0.4288666836
95	0.4285683826
96	0.4281492995
97	0.4277790139
98	0.4273576086
99	0.4270182063
100	0.4266642232
101	0.4262263337
102	0.4259525322
103	0.4256576836
104	0.4252572167
105	0.4249979416
106	0.424729368
107	0.4243821522
108	0.4240401368
109	0.4236962544
110	0.4234090383
111	0.4231464213
112	0.4228553528
113	0.4226317702
114	0.422366321
115	0.4221831936
116	0.421928473
117	0.421660483
118	0.4214374927
119	0.4211598763
120	0.4208957936
121	0.4206791604
122	0.4204047591
123	0.4202163589
124	0.420034507
125	0.4197759072
126	0.4195690466
127	0.419373215
128	0.4191820282
129	0.4190078997
130	0.4188598821
131	0.4186254992
132	0.418502445
133	0.4183088451
134	0.4182014284
135	0.4180234113
136	0.4178978528
137	0.4177404367
138	0.4175489591
139	0.4173988654
140	0.4172532982
141	0.4171986773
142	0.4170268171
143	0.4169181532
144	0.4167536427
145	0.416633795
146	0.4165234827
147	0.4164572958
148	0.4163159912
149	0.416142328
150	0.4160625348
151	0.4159673045
152	0.415777567
153	0.4156067819
154	0.4155547846
155	0.4154987436
156	0.415275664
157	0.4152387031
158	0.4151453675
159	0.4149996007
160	0.4149097168
161	0.4148867176
162	0.4147074448
163	0.4146758484
164	0.4146328222
165	0.4144681759
166	0.4144346397
167	0.4143269238
168	0.4142218764
169	0.4141773476
170	0.4139758895
171	0.4139688377
172	0.4138796737
173	0.4137686702
174	0.4137858806
175	0.4136284295
176	0.4136226165
177	0.4134461584
178	0.4134678224
179	0.4133426753
180	0.4133641026
