iter	Passed	Remaining
0	363	363305
1	458	228685
2	555	184700
3	649	161673
4	742	147808
5	829	137478
6	923	130960
7	1015	125939
8	1111	122406
9	1204	119229
10	1317	118461
11	1443	118828
12	1539	116912
13	1712	120625
14	1844	121146
15	1981	121886
16	2171	125588
17	2339	127645
18	2450	126540
19	2562	125569
20	2663	124166
21	2762	122823
22	2857	121381
23	2949	119947
24	3045	118758
25	3139	117607
26	3232	116479
27	3329	115578
28	3426	114713
29	3520	113818
30	3611	112888
31	3707	112145
32	3796	111248
33	3884	110368
34	3977	109666
35	4068	108941
36	4166	108441
37	4279	108327
38	4375	107808
39	4466	107207
40	4563	106732
41	4692	107039
42	4832	107549
43	4949	107540
44	5058	107349
45	5182	107487
46	5304	107566
47	5418	107467
48	5518	107103
49	5616	106707
50	5713	106321
51	5813	105982
52	5911	105633
53	6004	105189
54	6097	104768
55	6201	104541
56	6307	104356
57	6403	103998
58	6507	103789
59	6614	103633
60	6711	103314
61	6811	103057
62	6912	102807
63	7017	102633
64	7117	102383
65	7209	102030
66	7319	101920
67	7410	101572
68	7512	101366
69	7610	101114
70	7704	100805
71	7802	100561
72	7894	100254
73	7989	99977
74	8082	99687
75	8181	99471
76	8280	99261
77	8365	98888
78	8456	98584
79	8545	98276
80	8637	97995
81	8731	97750
82	8828	97543
83	8921	97284
84	9021	97112
85	9115	96873
86	9217	96735
87	9324	96631
88	9417	96400
89	9512	96182
90	9611	96010
91	9725	95988
92	9822	95793
93	9914	95562
94	10007	95334
95	10100	95117
96	10196	94925
97	10300	94807
98	10393	94593
99	10484	94364
100	10582	94196
101	10675	93989
102	10775	93840
103	10865	93608
104	10970	93508
105	11063	93305
106	11157	93119
107	11254	92957
108	11347	92761
109	11436	92532
110	11528	92331
111	11619	92123
112	11709	91915
113	11798	91698
114	11887	91482
115	11976	91271
116	12068	91081
117	12157	90870
118	12258	90754
119	12352	90586
120	12445	90409
121	12530	90181
122	12631	90067
123	12735	89969
124	12804	89632
125	12900	89485
126	12992	89312
127	13083	89131
128	13177	88975
129	13277	88853
130	13369	88687
131	13458	88497
132	13547	88312
133	13634	88115
134	13719	87907
135	13811	87743
136	13899	87557
137	13980	87325
138	14069	87151
139	14158	86973
140	14254	86838
141	14315	86496
142	14405	86330
143	14470	86018
144	14562	85869
145	14651	85700
146	14741	85540
147	14827	85359
148	14905	85133
149	14994	84966
150	15092	84859
151	15180	84692
152	15269	84533
153	15360	84383
154	15451	84235
155	15528	84011
156	15618	83864
157	15708	83711
158	15800	83574
159	15890	83423
160	15957	83159
161	16035	82951
162	16129	82826
163	16222	82692
164	16315	82568
165	16406	82425
166	16493	82270
167	16588	82151
168	16676	82003
169	16767	81865
170	16853	81704
171	16948	81587
172	17035	81434
